x;y;date
1568;12;12/04/2017
1265;14;13/04/2017
1068;10;14/04/2017
665;12;15/04/2017
748;9;16/04/2017
1105;13;17/04/2017
1216;20;18/04/2017
1990;21;19/04/2017
1849;22;20/04/2017
1744;17;21/04/2017
1054;14;22/04/2017
1207;10;23/04/2017
1813;15;24/04/2017
1798;23;25/04/2017
2013;26;26/04/2017
1672;12;27/04/2017
1597;10;28/04/2017
1063;15;29/04/2017
1046;6;30/04/2017
1558;8;01/05/2017
1438;11;02/05/2017
1789;18;03/05/2017
1553;20;04/05/2017
1588;12;05/05/2017
902;14;06/05/2017
1158;17;07/05/2017
1651;19;08/05/2017
1692;20;09/05/2017
2116;13;10/05/2017
1947;11;11/05/2017
1960;30;12/05/2017
1236;12;13/05/2017
1280;20;14/05/2017
2013;12;15/05/2017
1727;20;16/05/2017
2321;22;17/05/2017
2152;27;18/05/2017
2081;25;19/05/2017
1117;11;20/05/2017
1240;15;21/05/2017
2301;19;22/05/2017
1943;23;23/05/2017
2054;23;24/05/2017
1629;18;25/05/2017
1750;23;26/05/2017
1073;21;27/05/2017
1020;11;28/05/2017
1690;19;29/05/2017
2032;13;30/05/2017
2226;14;31/05/2017
1776;25;01/06/2017
1760;26;02/06/2017
1094;11;03/06/2017
1108;8;04/06/2017
1874;26;05/06/2017
1753;11;06/06/2017
1785;14;07/06/2017
1879;22;08/06/2017
1846;7;09/06/2017
1681;35;10/06/2017
1595;17;11/06/2017
2301;17;12/06/2017
1839;14;13/06/2017
2022;21;14/06/2017
1837;20;15/06/2017
1755;18;16/06/2017
1488;6;17/06/2017
1377;14;18/06/2017
2098;26;19/06/2017
1882;14;20/06/2017
2105;17;21/06/2017
1768;19;22/06/2017
1970;19;23/06/2017
1093;13;24/06/2017
1037;12;25/06/2017
1923;8;26/06/2017
1705;8;27/06/2017
1844;13;28/06/2017
1497;19;29/06/2017
1657;18;30/06/2017
1527;26;01/07/2017
1094;20;02/07/2017
1842;23;03/07/2017
1524;11;04/07/2017
2012;24;05/07/2017
