x;y;date
3;0;29/01/2016
7;0;30/01/2016
8;0;31/01/2016
12;0;01/02/2016
10;0;02/02/2016
18;0;03/02/2016
13;0;04/02/2016
13;0;05/02/2016
8;0;06/02/2016
1;0;07/02/2016
8;0;08/02/2016
6;0;09/02/2016
7;0;10/02/2016
12;0;11/02/2016
10;0;12/02/2016
2;0;13/02/2016
6;0;14/02/2016
16;0;15/02/2016
27;0;16/02/2016
10;0;17/02/2016
21;0;19/02/2016
11;0;20/02/2016
3;0;21/02/2016
36;0;23/02/2016
20;0;24/02/2016
15;0;26/02/2016
3;0;27/02/2016
10;0;28/02/2016
6;0;29/02/2016
7;0;01/03/2016
12;0;02/03/2016
9;0;03/03/2016
19;0;04/03/2016
5;0;05/03/2016
17;0;06/03/2016
22;0;07/03/2016
18;0;08/03/2016
11;0;09/03/2016
15;0;10/03/2016
15;0;11/03/2016
7;0;12/03/2016
2;0;13/03/2016
7;0;14/03/2016
26;0;17/03/2016
20;0;18/03/2016
10;0;20/03/2016
17;0;22/03/2016
27;0;23/03/2016
20;0;24/03/2016
9;0;27/03/2016
14;0;28/03/2016
18;0;29/03/2016
25;0;30/03/2016
16;0;31/03/2016
27;0;01/04/2016
21;0;02/04/2016
10;0;03/04/2016
37;0;04/04/2016
29;0;05/04/2016
32;0;06/04/2016
28;0;07/04/2016
30;0;08/04/2016
20;0;09/04/2016
12;0;10/04/2016
26;0;11/04/2016
27;0;12/04/2016
19;0;13/04/2016
18;0;14/04/2016
23;0;15/04/2016
30;0;16/04/2016
15;0;17/04/2016
18;0;18/04/2016
22;0;19/04/2016
35;0;20/04/2016
12;0;23/04/2016
15;0;24/04/2016
24;0;25/04/2016
37;0;26/04/2016
51;0;27/04/2016
29;0;28/04/2016
32;0;29/04/2016
17;0;30/04/2016
29;0;01/05/2016
51;0;02/05/2016
58;0;03/05/2016
65;0;05/05/2016
22;0;07/05/2016
14;0;08/05/2016
48;0;09/05/2016
54;0;10/05/2016
57;0;12/05/2016
63;0;15/05/2016
60;0;16/05/2016
44;0;17/05/2016
56;0;19/05/2016
41;0;20/05/2016
11;0;21/05/2016
12;0;22/05/2016
73;0;23/05/2016
48;0;24/05/2016
64;0;25/05/2016
86;0;26/05/2016
58;0;27/05/2016
22;0;29/05/2016
62;0;30/05/2016
45;0;31/05/2016
46;0;03/06/2016
15;0;04/06/2016
53;0;06/06/2016
39;0;07/06/2016
35;0;09/06/2016
38;0;10/06/2016
19;0;11/06/2016
11;0;12/06/2016
58;0;13/06/2016
62;0;15/06/2016
68;0;16/06/2016
40;0;17/06/2016
25;0;18/06/2016
33;0;19/06/2016
53;0;21/06/2016
38;0;24/06/2016
30;0;25/06/2016
29;0;26/06/2016
51;0;30/06/2016
34;0;01/07/2016
11;0;03/07/2016
89;0;06/07/2016
63;0;07/07/2016
82;0;12/07/2016
100;0;13/07/2016
26;0;15/07/2016
38;0;20/07/2016
65;0;22/07/2016
14;0;23/07/2016
58;0;25/07/2016
87;0;28/07/2016
21;0;30/07/2016
33;0;31/07/2016
48;0;01/08/2016
62;0;02/08/2016
64;0;03/08/2016
49;0;04/08/2016
79;0;05/08/2016
34;0;06/08/2016
32;0;07/08/2016
56;0;10/08/2016
40;0;12/08/2016
75;0;15/08/2016
55;0;16/08/2016
101;0;17/08/2016
92;0;18/08/2016
45;0;21/08/2016
75;0;22/08/2016
106;0;26/08/2016
48;0;28/08/2016
156;0;30/08/2016
90;0;31/08/2016
